No.,country,people,area(kilometer),density (per square kilometer)
1,Hymn of Monaco,38300,2,18960
2,c,5612300,720,7796
3,f,832,0,1891
4,g,1214705,665,1827
5,h,394999,300,1317
6,i,408333,316,1292
7,k,158570535,144000,1101
8,n,4816503,6220,774
9,o,286705,431,665
10,p,23562318,36197,651
11,h,1303717,2040,639
12,h,31817,61,520
13,h,48754657,99600,490
14,h,9322,21,444
15,h,11370425,26338,432
16,h,16847007,41526,406
17,h,10544,26,406
18,h,4143101,10400,398
19,h,11443830,30528,375
20,h,67182,181,371
21,h,10216190,27830,367
22,h,794683,2170,366
23,h,1189172906,3287590,362
24,h,7473052,20770,360
25,h,9719932,27750,350
26,h,101833938,300000,339
27,h,127270000,377835,337
